sample_id,person,phrase,augmentation,sample_rate,mfcc1_mean,mfcc1_std,mfcc1_min,mfcc1_max,mfcc2_mean,mfcc2_std,mfcc2_min,mfcc2_max,mfcc3_mean,mfcc3_std,mfcc3_min,mfcc3_max,mfcc4_mean,mfcc4_std,mfcc4_min,mfcc4_max,mfcc5_mean,mfcc5_std,mfcc5_min,mfcc5_max,mfcc6_mean,mfcc6_std,mfcc6_min,mfcc6_max,mfcc7_mean,mfcc7_std,mfcc7_min,mfcc7_max,mfcc8_mean,mfcc8_std,mfcc8_min,mfcc8_max,mfcc9_mean,mfcc9_std,mfcc9_min,mfcc9_max,mfcc10_mean,mfcc10_std,mfcc10_min,mfcc10_max,mfcc11_mean,mfcc11_std,mfcc11_min,mfcc11_max,mfcc12_mean,mfcc12_std,mfcc12_min,mfcc12_max,mfcc13_mean,mfcc13_std,mfcc13_min,mfcc13_max,rolloff_mean,rolloff_std,rolloff_min,rolloff_max,energy_mean,energy_std,energy_min,energy_max,zcr_mean,zcr_std,centroid_mean,centroid_std
JD_Confirm_Transaction.WAV_time_stretch,JD,,Time Stretch 1.1x,48000,-494.08224,110.67736,-702.6091,-301.2242,122.350235,60.87296,0.0,252.73395,11.734153,35.870434,-100.37384,63.719128,31.291946,27.59327,-23.153576,142.3051,-1.476325,26.377377,-64.37552,40.408127,6.854911,14.465834,-33.575676,50.13463,9.743495,12.740971,-32.8538,39.64337,5.8158712,9.853725,-25.557003,31.207174,-3.3205762,15.416045,-39.35934,36.225365,9.413272,10.792072,-28.823963,32.92483,4.658488,11.5341015,-26.8549,33.172234,0.53781027,10.061295,-25.803217,21.774633,2.8856564,8.841146,-24.192274,22.756329,5766.483516483517,3100.0730272498204,726.5625,12445.3125,0.016585853,0.022921368,1.9652732e-07,0.08960083,0.055469107715201464,0.05914494144082384,2859.674022730441,1519.9682019445386
JD_Confirm_Transaction.WAV_noise,JD,,Background Noise,48000,-181.25223,50.59074,-272.23114,-78.39433,39.45759,50.65686,-13.562696,153.22754,19.827532,30.487453,-63.057804,74.67504,15.123229,15.905596,-19.476625,78.564545,2.8891711,12.0102,-39.621643,30.811348,2.5703754,9.953141,-40.586082,25.835083,6.7353473,8.927162,-24.773579,41.942894,2.7131603,7.735365,-22.454037,22.307869,0.86477035,7.798564,-25.287212,23.265118,2.8258169,7.7453113,-22.16738,24.649685,1.5854611,7.8934593,-23.43095,18.807148,1.4345996,6.35205,-17.558258,16.532625,2.1241975,5.56091,-13.354084,21.074615,17492.47300664452,3919.9164637422014,6117.1875,20765.625,0.08504813,0.1001827,0.012715277,0.3927294,0.30560241901993357,0.17757721804356175,9149.842262636203,3108.0943479755547
JD_Yes_Approve.WAV_original,JD,,Original,48000,-488.98962,106.57901,-692.90594,-320.70633,109.7622,53.44417,0.0,240.49475,7.6147604,31.883781,-62.3526,82.660614,31.777912,27.594578,-10.37582,106.64001,-3.710087,29.455322,-75.767876,35.79431,8.058438,14.130505,-29.034584,50.694622,7.315942,10.208916,-19.421913,39.5234,4.72062,6.075597,-11.146722,22.440989,-1.8821071,13.321717,-45.683002,27.949081,7.133718,7.5982757,-10.709561,26.245308,1.6979982,8.975189,-25.10041,24.415596,5.3814254,6.344087,-14.537476,29.07714,-3.876241,10.746963,-39.146442,12.991682,6790.867554151625,3093.4329459412766,0.0,15656.25,0.0138646765,0.021335598,0.0,0.090592645,0.07401427120938628,0.07469490084313447,3416.004154057999,1717.6881098770098
JD_Yes_Approve.WAV_pitch_up,JD,,Pitch Shift +2,48000,-524.2051,109.804,-750.0149,-358.69998,108.1763,55.574413,0.0,243.948,5.941851,28.363419,-56.987648,75.709274,29.23343,21.861073,-5.740823,96.05701,-7.758332,30.549011,-81.36908,32.637203,11.57829,16.54094,-25.24351,61.33752,6.048705,9.16035,-12.715471,30.714226,2.8192387,8.729366,-20.822237,22.627417,-0.2721942,13.132079,-37.483368,34.570312,8.491347,9.225988,-12.000294,37.147896,-0.6094149,9.35324,-27.248302,21.370785,2.0855052,10.1478,-29.321629,27.649406,-8.607109,14.022909,-46.33239,15.205323,7712.206678700361,3204.3622855760027,773.4375,15164.0625,0.008868097,0.013224738,1.6156454e-08,0.053182695,0.08504202391696751,0.08720407736800843,3840.28140502593,1859.3086770394566
JD_Yes_Approve.WAV_time_stretch,JD,,Time Stretch 1.1x,48000,-529.48926,106.09447,-750.77673,-367.1204,112.548386,52.969395,0.0,238.27109,4.288402,31.269402,-64.08194,83.26083,34.449024,27.354094,-4.6416464,116.083984,-5.836742,30.252686,-80.616486,33.40337,8.896577,14.735742,-32.910507,51.764442,7.240547,9.896405,-16.377296,35.197216,4.966346,5.8230968,-10.007919,20.566788,-2.643797,14.041997,-42.892563,24.335821,7.8918185,7.9954467,-14.368658,30.095253,1.0234612,9.396407,-22.998688,27.016403,5.3234105,6.9139524,-14.597494,29.54058,-4.3176937,10.898313,-35.81897,14.234385,6939.274153386455,2988.586927678196,820.3125,14414.0625,0.008880378,0.013332261,5.2981022e-08,0.050900303,0.07571471924800798,0.07674399548092768,3469.692620827358,1675.2540257580567
JD_Yes_Approve.WAV_noise,JD,,Background Noise,48000,-172.00206,38.844276,-246.07596,-93.29007,24.698463,39.186474,-18.414278,123.26672,15.148942,24.045593,-18.542301,77.81079,13.839931,16.045286,-25.042183,54.748234,1.5855436,12.817671,-36.447548,31.961107,3.0535693,8.644271,-18.508366,26.21785,6.2506714,7.94696,-11.41958,34.64528,1.7572857,5.556428,-13.673217,20.655464,1.5181477,6.446965,-17.82735,16.496994,2.6549125,6.303669,-16.326973,18.813988,1.2576988,4.907536,-13.180372,16.573143,1.1475346,5.6733923,-15.950967,21.410355,-2.0217452,7.3780537,-25.196041,11.435934,18609.628835740074,2491.2585279887535,11765.625,20929.6875,0.07497375,0.09154904,0.016025415,0.4142444,0.34762980877707583,0.16707346079272142,9936.348636336943,2555.5102350903353
Mariam_Confirm_Transaction.WAV_original,Mariam,,Original,48000,-515.1649,138.50203,-684.34924,-276.0725,86.90897,60.3159,0.0,203.83148,-4.8911424,32.06684,-125.631485,39.744263,18.011261,20.894224,-45.07799,99.19304,3.3657663,19.885864,-56.576733,45.549217,11.717788,11.900487,-25.007063,46.187805,2.979567,13.312178,-35.626385,35.338585,8.845326,9.303472,-17.633518,40.4591,-5.3013062,14.419406,-41.19513,17.103086,0.08098791,9.355756,-29.539433,27.673779,-0.22813624,5.6342483,-23.326542,11.758621,0.6034179,7.796602,-30.533274,21.211353,-4.0187044,8.568157,-30.753922,14.222195,7612.776752767528,4126.3730691785095,0.0,16734.375,0.017727409,0.023992205,0.0,0.084151864,0.0813790071494465,0.06563260001613981,3767.8871692070225,1858.6556920471369
Mariam_Confirm_Transaction.WAV_pitch_up,Mariam,,Pitch Shift +2,48000,-537.4667,134.46632,-692.2109,-307.31723,75.86447,58.199135,0.0,190.66899,-3.532148,28.61143,-109.87138,34.688614,16.242226,21.07851,-34.652313,88.11458,4.809679,19.313948,-58.85685,46.546597,9.346702,10.705529,-19.333187,43.631897,2.5077543,11.870141,-32.352547,40.816147,4.011106,9.864314,-24.096012,28.965015,-8.3213215,16.451433,-52.79344,27.848713,1.570048,7.0581045,-23.276726,23.564156,-2.879426,8.405058,-31.679901,22.932898,-1.3235816,8.312292,-34.92733,20.049526,-10.106887,12.632755,-37.252586,14.687241,8309.761300738008,4345.748337043433,492.1875,15632.8125,0.014408975,0.019836832,4.0807304e-09,0.07129452,0.09954270929428044,0.0771472398134722,4102.689377876621,1935.789457608355
Mariam_Confirm_Transaction.WAV_time_stretch,Mariam,,Time Stretch 1.1x,48000,-544.47437,134.67662,-704.814,-322.3273,82.931595,59.97958,0.0,197.25781,-4.3022184,32.10309,-126.712494,32.907764,18.113237,20.47036,-32.009514,96.403275,4.5054636,19.551311,-52.29433,48.80318,11.401552,12.154289,-25.317379,41.653492,3.7835717,12.639752,-29.639986,26.839382,8.34897,9.751414,-20.424368,41.452126,-5.370649,14.37301,-38.316227,21.031883,0.36281362,9.825226,-32.399315,23.302742,0.21919799,6.619296,-19.194355,17.68024,1.1963625,7.9768314,-27.234554,25.440063,-4.4152575,9.096661,-29.246077,19.830662,7624.523628048781,4078.930618266027,445.3125,15257.8125,0.013404954,0.018309675,2.4344343e-08,0.0674929,0.08323408917682927,0.06428003611076888,3749.690428200954,1796.8147297223702
Mariam_Confirm_Transaction.WAV_noise,Mariam,,Background Noise,48000,-159.85028,45.606396,-234.67998,-54.245552,22.888462,38.704754,-13.625641,117.81827,5.5823517,19.608746,-76.84572,44.32354,5.2492642,13.286077,-33.88313,48.387352,2.7091403,10.017053,-23.57647,29.529911,1.7992737,8.874372,-30.042862,21.003529,3.119329,5.803968,-11.2969265,20.318535,0.7840087,5.952257,-19.354328,22.750782,-3.0388978,8.249031,-26.535557,13.878228,-2.5671108,6.5760813,-29.12458,10.685535,-0.34215835,5.0812745,-20.610046,17.143337,-0.28228062,5.390685,-17.097513,14.932772,-4.2957997,7.677778,-23.136826,9.213054,18454.566420664207,2906.337443899175,8648.4375,20812.5,0.10672129,0.11635685,0.01849209,0.4406716,0.3265736710101476,0.19432946706623402,9773.223623920027,2769.1168938179735
Mariam_Yes_Approve.WAV_original,Mariam,,Original,48000,-532.81635,124.40022,-659.3377,-232.58777,66.01441,44.81321,-9.87348,178.1302,17.76851,20.430319,-36.466995,68.98362,19.581427,20.87133,-22.475023,119.750534,2.3184214,20.206812,-67.31409,32.02011,17.819174,17.033876,-5.6740417,87.98296,-0.6773651,17.710188,-67.57693,20.495663,14.197497,12.8867235,-9.993557,50.769905,0.5043918,14.233013,-43.902428,22.532478,0.18028475,10.668831,-30.307732,18.900291,-0.628452,9.782543,-30.163528,17.100624,-1.2681817,10.561565,-45.836166,19.370686,-2.3606257,9.1095085,-29.648373,20.771795,9852.384868421053,2888.6020207718643,0.0,15445.3125,0.013681808,0.02877994,0.0,0.11653829,0.1019756610576923,0.1117150453971724,4565.831529293415,2063.258929173423
Mariam_Yes_Approve.WAV_pitch_up,Mariam,,Pitch Shift +2,48000,-566.62396,129.58333,-699.506,-259.25052,64.03911,42.50928,-10.924524,171.76942,18.47476,18.813503,-33.584335,69.82927,15.681281,16.720228,-21.320232,93.68666,3.6126564,17.468021,-61.980927,26.567175,14.920871,15.502427,-6.6393995,88.18492,-0.802489,17.507095,-58.427994,21.671024,12.5335865,12.220254,-7.3362103,64.36673,-6.231716,19.056519,-59.323475,22.10847,1.125929,10.098341,-30.64688,32.404953,-2.898413,12.080811,-42.634003,23.350182,-0.26504883,10.066905,-31.610533,26.321812,-3.4276445,8.939727,-32.832726,9.310402,11077.017965587045,2757.817922737816,1382.8125,16898.4375,0.009267818,0.019955454,3.3289067e-09,0.08555276,0.1259469097925101,0.12616826310573123,5123.346419986095,2160.4486967241214
Mariam_Yes_Approve.WAV_time_stretch,Mariam,,Time Stretch 1.1x,48000,-564.5641,124.93803,-689.53046,-272.46826,64.52174,44.202446,-5.987873,177.08072,18.249132,19.910885,-33.448387,77.99921,20.410658,20.463633,-16.187443,115.36249,2.4897456,21.591146,-72.806114,36.233665,18.142344,16.174067,-4.2514744,82.15019,-0.5211429,17.769197,-63.607426,25.052979,14.125693,12.990434,-8.674177,51.808926,-0.07128143,14.879182,-43.842857,22.85753,-0.20724106,11.064908,-35.65992,19.395653,-0.7787247,10.114929,-27.550997,18.0103,-1.6315743,11.197904,-47.98018,21.650885,-2.8451393,9.573064,-30.705791,18.292171,9918.875558035714,2752.2791042040603,1148.4375,15164.0625,0.01003462,0.021050163,2.3291351e-08,0.097202465,0.10698154994419642,0.11407626678902995,4602.019755069501,1977.3093791114177
Mariam_Yes_Approve.WAV_noise,Mariam,,Background Noise,48000,-197.84021,44.069588,-267.57938,-51.94661,10.496299,31.052649,-32.616753,130.53471,8.709655,14.652117,-10.573687,60.427322,6.92544,12.997873,-13.459065,69.356705,1.533225,8.320782,-34.653393,36.2266,5.3916473,9.564788,-13.013365,57.840164,1.4750845,6.456696,-25.40797,16.870033,3.1153524,7.644387,-23.275923,27.444286,-0.24646954,7.617026,-29.954094,16.95804,-1.556062,8.333742,-31.663916,11.791457,-1.9264395,8.273005,-28.887516,14.068036,-1.8536843,8.522773,-34.037937,12.283603,-1.7397981,8.353139,-27.571772,14.883137,19054.877277327934,2745.706254058491,9679.6875,20976.5625,0.0671967,0.10784966,0.013949515,0.45927596,0.42093599759615385,0.14318865722889737,10875.220598719958,2305.5467177457213
Noella_Confirm_Transaction.WAV_original,Noella,,Original,44100,-470.514,115.753975,-723.6698,-242.9141,78.54791,36.52947,-26.472862,164.88315,10.693618,31.72753,-91.741425,65.1891,17.154015,22.893347,-24.070345,98.36958,-46.597412,36.39445,-132.6678,18.427242,27.590609,15.893416,-13.317508,75.926865,-11.276558,14.037792,-43.644913,20.291044,0.9173142,12.757053,-42.542065,24.663351,1.3436754,13.5496855,-34.247017,33.12479,-4.102089,8.129608,-20.615894,19.166637,-16.73207,13.675987,-45.90358,17.596123,8.040539,9.134314,-13.452276,32.62758,-13.224128,8.62497,-35.09999,8.817562,10388.47019361413,1985.4804204541294,6567.626953125,15137.841796875,0.01263325,0.016137196,8.906777e-05,0.09393135,0.15340051328502416,0.09126824108516299,5406.2688892008555,1529.0850109527107
Noella_Confirm_Transaction.WAV_pitch_up,Noella,,Pitch Shift +2,44100,-501.9236,118.996155,-788.63245,-285.65356,70.29599,36.029114,-21.169884,130.76874,13.002945,28.827244,-68.931656,60.397026,1.9576964,24.509382,-40.241714,61.624622,-41.89208,33.294662,-116.49338,20.146645,31.701607,16.917711,0.8749336,82.52466,-18.267645,15.321666,-50.992645,10.691723,5.025281,14.245614,-34.15811,32.644245,-2.9229972,12.606992,-35.7386,21.689938,-11.714603,8.719784,-35.628204,9.342938,-9.206902,10.417686,-38.116924,23.84956,4.6539326,11.526103,-19.262726,31.014088,-18.236385,11.427117,-44.3746,5.512173,11559.481148097826,2043.8683290138144,7945.751953125,16451.3671875,0.007755277,0.010287348,6.280444e-05,0.06647961,0.1942415836352657,0.1128532169553105,6196.9045401580925,1636.8047806036213
Noella_Confirm_Transaction.WAV_time_stretch,Noella,,Time Stretch 1.1x,44100,-501.7219,112.42384,-762.73083,-299.91336,79.613014,36.214256,-20.083126,138.06764,10.589586,32.489864,-92.804184,67.26811,20.085697,23.819155,-15.392621,95.160385,-50.309826,35.15928,-126.087715,12.622445,29.60615,16.440561,-11.434844,70.56553,-11.586735,13.276294,-40.19638,16.96819,1.3404807,13.348883,-45.18136,25.348675,3.502174,13.151233,-28.2117,36.050358,-3.327749,8.587045,-20.984835,19.715271,-17.053432,13.627198,-50.683254,17.942436,8.743857,8.910671,-14.897695,29.805632,-12.767715,8.55818,-32.8041,5.155938,10152.332581865026,1887.60258128984,6955.224609375,15137.841796875,0.008873923,0.010466457,8.721291e-05,0.05714985,0.16278206033909576,0.10198826793240236,5366.505959542715,1561.8704880100806
Noella_Confirm_Transaction.WAV_noise,Noella,,Background Noise,44100,-245.01936,33.72306,-320.53128,-132.90782,16.770172,23.660814,-44.782448,82.59965,8.121866,15.622475,-47.683754,38.508118,4.175779,13.008642,-20.058846,60.978394,-13.67086,19.528147,-84.78648,14.570269,0.5243257,9.188508,-28.531351,31.825844,-0.13031724,6.00552,-18.000874,17.44485,-2.9796243,10.435758,-37.364098,17.803288,4.301524,8.570027,-11.915677,29.76626,-3.9240646,6.12011,-22.136892,12.029139,-4.1622057,6.87918,-29.813494,9.431244,0.52879196,6.2940426,-17.381832,29.589375,-3.2162142,6.1916766,-21.717716,15.9008875,17129.090947690216,2277.798976467767,9022.412109375,19121.484375,0.03060527,0.031147059,0.007129923,0.19487062,0.3408368244263285,0.14872123226716852,9458.50932843268,1469.7334213635188
Noella_Yes_Approve.WAV_original,Noella,,Original,44100,-483.38474,78.808525,-683.14374,-350.61475,84.6219,51.27664,-38.047585,183.02808,26.068714,27.199215,-66.062225,73.86695,35.569542,31.214989,-1.570041,109.95903,-42.842724,32.514194,-110.55466,11.697943,11.187592,15.932477,-19.216007,45.862675,-10.933657,14.621186,-45.469406,22.828983,-5.3370132,9.16193,-28.107788,18.232595,-6.2594175,8.41676,-29.384336,10.394417,2.6529987,11.269188,-16.599974,33.004745,-13.345885,11.687782,-37.251694,14.106194,-4.385022,10.411406,-26.3405,17.600521,-7.8479514,9.116244,-27.574091,11.651979,8792.021894121504,3066.977540836868,968.994140625,13544.384765625,0.014155653,0.015096988,0.00036493217,0.05335196,0.1312691215034965,0.11491217009452753,4502.791849058801,2031.2270718362674
Noella_Yes_Approve.WAV_pitch_up,Noella,,Pitch Shift +2,44100,-511.53506,76.24225,-680.9623,-385.70612,74.669266,54.54013,-56.80915,168.23627,31.229315,25.011797,-57.71778,87.1287,17.216509,27.218685,-20.527626,73.547844,-41.304844,29.63421,-101.26726,10.358011,10.49527,16.343597,-17.889877,52.94007,-14.304606,16.504025,-53.454044,16.111832,-7.355378,9.856033,-31.067017,12.785863,-5.3866773,8.449122,-24.359425,16.152987,-5.7360005,12.067996,-30.418915,23.500957,-15.292356,13.24704,-46.161137,15.54525,-4.4895773,7.8715954,-21.51184,15.873064,-6.0941553,6.3734064,-20.55357,11.526915,9656.512237762237,3428.4821551283853,1012.060546875,15439.306640625,0.011129653,0.012701029,0.00026081852,0.050785527,0.14596877731643357,0.1289613726099034,5014.357541057869,2367.065785338021
Noella_Yes_Approve.WAV_time_stretch,Noella,,Time Stretch 1.1x,44100,-513.9982,74.77247,-683.2211,-386.21722,80.00075,50.35622,-38.645576,169.91556,28.34899,26.613014,-60.00802,76.90917,35.29195,31.560236,-8.770823,105.75404,-40.827133,32.34075,-111.93559,15.1067505,8.98202,15.809058,-22.004827,39.688236,-8.546157,15.062296,-47.64315,22.67088,-7.2994375,9.484422,-27.361755,14.516387,-4.8798575,9.456764,-32.958202,10.201452,0.87620354,11.836689,-19.614573,30.772545,-12.348247,12.169527,-38.676853,17.639153,-7.39543,9.785688,-29.918758,15.125881,-6.898931,8.797385,-22.872986,11.91795,8655.35381610577,2881.1726129595845,839.794921875,13264.453125,0.01137712,0.0133894235,0.00030067883,0.052862365,0.13183969350961539,0.11597681108953234,4455.27395311112,2072.9618663422502
